stitch_id_flat	stitch_id_stereo	umls_cui_label	meddra_concept_type	umls_cui_meddra	side_effect_name	drug_name
CID100002771	CID000002771	C0012833	PT	C0012833	Dizziness	metformin
CID100002771	CID000002771	C0027497	PT	C0027497	Nausea	metformin
CID100002771	CID000002771	C0011991	PT	C0011991	Diarrhoea	metformin
CID100003444	CID000003444	C0018681	PT	C0018681	Headache	sitagliptin
CID100003444	CID000003444	C0015672	PT	C0015672	Fatigue	sitagliptin
CID100000083	CID000000083	C0018681	PT	C0018681	Headache	empagliflozin
CID100000083	CID000000083	C0042963	PT	C0042963	Urinary tract infection	empagliflozin
CID100000083	CID000000083	C0011991	PT	C0011991	Diarrhoea	empagliflozin
CID100004905	CID000004905	C0027497	PT	C0027497	Nausea	semaglutide
CID100004905	CID000004905	C0011991	PT	C0011991	Diarrhoea	semaglutide
CID100004905	CID000004905	C0042963	PT	C0042963	Vomiting	semaglutide
CID100002446	CID000002446	C0019080	PT	C0019080	Haemorrhage	warfarin
CID100002446	CID000002446	C0014867	PT	C0014867	Gastrointestinal haemorrhage	warfarin
CID100000937	CID000000937	C0018681	PT	C0018681	Headache	isotretinoin
CID100000937	CID000000937	C0015230	PT	C0015230	Dry skin	isotretinoin
CID100000937	CID000000937	C0011570	PT	C0011570	Depression	isotretinoin
